sample_index,timestamp_since_poweron_ms,real_time_clock,temperature,pressure,humidity,gas_resistance,heater_profile_step_index,gas_valid,heater_stable,error_code
0,412,0,30.235,976.440,35.958,97505.234,0,1,1,0
0,181,0,31.397,976.480,35.636,122752.336,0,1,1,0
1,3167,0,31.291,976.498,34.712,139054.859,1,1,1,0
2,6157,0,31.528,976.459,34.077,148362.797,2,1,1,0
3,9147,0,31.719,976.452,33.665,154682.781,3,1,1,0
4,12137,0,31.877,976.468,33.415,2187450.000,4,1,1,0
5,15127,0,31.759,976.425,33.347,790428.375,5,1,1,0
6,18117,0,31.741,976.473,33.419,164683.172,6,1,1,0
7,21107,0,31.812,976.475,33.375,42063.754,7,1,1,0
8,24097,0,31.419,976.453,33.704,46715.328,8,1,1,0
9,27087,0,31.238,976.462,34.037,50423.477,9,1,1,0
10,30077,0,31.105,976.435,34.290,52892.562,0,1,1,0
11,33067,0,31.020,976.432,34.520,54829.727,1,1,1,0
12,36057,0,30.954,976.438,34.684,55907.402,2,1,1,0
13,39047,0,30.897,976.439,34.809,57334.828,3,1,1,0
14,42037,0,30.859,976.453,34.885,58715.598,4,1,1,0
15,45027,0,30.826,976.442,34.950,59911.070,5,1,1,0
16,48017,0,30.799,976.426,35.016,60377.359,6,1,1,0
17,51007,0,30.773,976.433,35.059,61376.168,7,1,1,0
18,53997,0,30.748,976.442,35.113,62362.973,8,1,1,0
19,56987,0,30.736,976.456,35.163,62822.086,9,1,1,0
20,59977,0,30.711,976.453,35.189,63618.289,0,1,1,0
21,62967,0,30.698,976.459,35.211,63952.035,1,1,1,0
22,65957,0,30.685,976.465,35.250,64483.629,2,1,1,0
23,68947,0,30.668,976.459,35.282,65024.129,3,1,1,0
24,71937,0,30.653,976.429,35.315,65372.828,4,1,1,0
25,74927,0,30.643,976.459,35.337,66132.781,5,1,1,0
26,77917,0,30.633,976.452,35.358,66235.445,6,1,1,0
27,80907,0,30.628,976.471,35.386,66286.898,7,1,1,0
28,83897,0,30.615,976.458,35.397,66963.117,8,1,1,0
29,86887,0,30.605,976.471,35.418,66701.406,9,1,1,0
30,89877,0,30.595,976.455,35.440,67279.898,0,1,1,0
31,92867,0,30.592,976.478,35.446,67814.570,1,1,1,0
32,95857,0,30.580,976.468,35.462,68577.555,2,1,1,0
33,98847,0,30.570,976.462,35.472,68193.930,3,1,1,0
34,101837,0,30.562,976.469,35.483,68743.289,4,1,1,0
35,104827,0,30.555,976.456,35.516,69021.297,5,1,1,0
36,107817,0,30.542,976.469,35.526,68909.828,6,1,1,0
37,110807,0,30.540,976.469,35.532,69527.430,7,1,1,0
38,113797,0,30.527,976.467,35.542,69754.766,8,1,1,0
39,116787,0,30.525,976.481,35.553,70271.758,9,1,1,0
40,119777,0,30.514,976.466,35.558,69926.250,0,1,1,0
41,122767,0,30.509,976.469,35.580,70620.688,1,1,1,0
42,125757,0,30.507,976.471,35.608,71032.188,2,1,1,0
43,128747,0,30.497,976.476,35.636,70620.688,3,1,1,0
44,131737,0,30.479,976.447,35.628,71508.383,4,1,1,0
45,134727,0,30.484,976.479,35.646,71508.383,5,1,1,0
46,137717,0,30.464,976.461,35.667,71688.602,6,1,1,0
47,140707,0,30.464,976.454,35.684,71809.258,7,1,1,0
48,143697,0,30.459,976.464,35.678,71930.320,8,1,1,0
49,146687,0,30.447,976.451,35.699,72295.961,9,1,1,0
50,149677,0,30.449,976.455,35.723,72418.672,0,1,1,0
51,152667,0,30.439,976.452,35.699,72541.797,1,1,1,0
52,155657,0,30.434,976.457,35.738,72541.797,2,1,1,0
53,158647,0,30.424,976.464,35.749,72976.055,3,1,1,0
54,161637,0,30.419,976.438,35.760,72789.312,4,1,1,0
55,164627,0,30.414,976.453,35.782,73163.758,5,1,1,0
56,167617,0,30.404,976.450,35.775,72976.055,6,1,1,0
57,170607,0,30.401,976.470,35.821,73226.547,7,1,1,0
58,173597,0,30.391,976.456,35.808,73415.547,8,1,1,0
59,176587,0,30.389,976.463,35.831,73732.719,9,1,1,0
60,179587,0,30.386,976.476,35.842,73924.344,0,1,1,0
61,182577,0,30.371,976.457,35.852,73796.484,1,1,1,0
62,185567,0,30.369,976.473,35.869,74116.969,2,1,1,0
63,188557,0,30.359,976.458,35.885,74310.594,3,1,1,0
64,191547,0,30.351,976.450,35.901,75161.477,4,1,1,0
65,194537,0,30.349,976.447,35.924,74831.922,5,1,1,0
66,197527,0,30.341,976.455,35.929,74700.906,6,1,1,0
67,200517,0,30.338,976.462,35.952,75161.477,7,1,1,0
68,203507,0,30.328,976.463,35.939,74963.398,8,1,1,0
69,206497,0,30.323,976.468,35.956,75627.773,9,1,1,0
70,209487,0,30.323,976.474,35.985,75161.477,0,1,1,0
71,212477,0,30.311,976.478,36.018,75427.227,1,1,1,0
